text,sdg
primero generalmente asociar costo oportunidad proporcionar indicacion valor agua asignado usuario alternativo riego poder afectar medio ambiente traves impacto directo recurso hidrico suelo biodiversidad paisaje asi impacto secundario surgar intensificacion produccion agricola traves transformacion tierra secano tierra regadio lista region cuenca identificar problema relacionado uso excesivo agua riego largo,6
luego rio fluir traves area semiarida arida alto tasa evaporacion dilucion adicional llevar salinizacion rio shatt arab ver cap variacion espacial nivel salinidad generalmente indicar tendencia creciente solido disuelto rio abajo,6
sala situacion centro operacion recurso hidrico gestionar presa explotado water pais centro pronosticar precipitacion cuenca presa azud pais recopila gestionar dato estacion hidrometrica controla gestionar inundacion abastecimiento agua generacion hidroelectrico presa polivalent presa abastecimiento agua azud centro desarrollar tecnologia gestion integrado agua basado tic exportar extranjero varios ciudad realizar prueba piloto aplicacion usuario domestico agua incluido contador agua inteligente controlar calidad agua tiempo real,6
estadistica recurso hidrico incluir volumen agua generado pais territorio resultado precipitacion volumen agua perdido evapotranspiracion entrada agua territorio vecino salida agua hacia territorio vecino mar estadistica proceder vigilancia hidrometeorologico hidrologicar medicion modelo estadistica calidad agua masa agua tratar tema calidad agua dulce calidad agua dulce tema calidad agua marino calidad agua marino,6
factor clave propiedad automovil facilitar transporte agua embotellado vivir area urbano falta confianza gobierno autoridad local cuanto menor mayor correlacion debido invertir menos agua embotellado representar mayor proporcion ingreso disponible grupo menor ingreso probabilidad expuesto contaminacion agua potencialmente pagar mayor proporcion costo salud inaccion politica razonamiento aplicar poblacion urbano rural grafico,6
iniciativa similar revivir antiguo practica gestion tierra conocimiento tradicional cultural acompañar marcha pais region arabe incluido jordania recuadro cuenca ver cada vez afectado deforestacion cambio uso suelo agricultura intensivo mineria crecimiento demografico cambio climatico degradacion cuenca impacto negativamente suministro agua particularmente poblacion urbano reducir disponibilidad agua menos cierto estacion agravar inundacion urbano deteriorar calidad agua aumentar costo suministro tratamiento agua urbano,6
existir oportunidad aumentar cargo extraccion agua cobrar costo extraccion actualmente regulado oficina regulador industria red moe desafio priorizar escalonar inversion largo tiempo enfocar area mejor relacion costo beneficio mayor impacto positivo recurso hidrico deber reconsiderar clasificacion eslovaquia zona sensible virtud directiva tratamiento agua residual urbano miras dar prioridad zona sensible,6
reduccion intensidad implicar menor consumo combustible fosil menor agotamiento menor necesidad desarrollar recurso convencional intensivo agua beneficio limitar cuello botella energia agua lado señalar anteriormente mayor dependencia bioenergia poder agravar competencia escasez tierra,6
comprender prohibicion vertido directo agua subterraneo cubrir vertido indirecto obligacion vigilar masa agua subterraneo detectar cambio composicion quimico invertir cualquiera tendencia aumento contaminacion inducido antropogenicamente presuncion relacion agua subterraneo deber contaminar absoluto motivo establecimiento norma calidad quimico considerar mejor enfocar dar impresion existir nivel contaminacion permitido miembro poder llegar establecer norma tipo cuestion concreto nitrato plaguicida biocida,6
caso agricultura incluir riego facilitar suministro agua largo estacion produccion gestion agua agricultura secano gestion inundacion sequia drenaje conservacion ecosistema satisfaccion necesidad cultural recreativa relacionado agua ocde mayoria pais agricultura gran medida secano zona expuesto precipitacion variable recurrir regadio complementar lluvia utilizar principalmente agua dulce fuente superficial subterraneo decir pozo profundo acuifero profundo menor medida agua residual reciclada agua desalinizado gestion recurso hidrico agricultura operar conjunto diverso contexto politico cultural juridico institucional abarcar serie area politica publico agricultura agua medio ambiente energia fiscal economico social regional,6
participacion sector privado infraestructura hidrico listo verificacion accion publico ocde poder util designar unidad administrativo gestion cuenca fluvial tvo distrito cuenca rio danubio incluir subcuenca rio muro drava sava distrito cuenca rio adriatico incluir cuenca rio socar rio largo costa adriatico facilitar gestion cada subcuenca dividir unidad pequeño denominado cuerpo agua cuerpo agua superficial cuerpo agua subterraneo,6
proporcionar acceso menudo percibir funcion central servicio agua saneamiento considerar area materializar mayoria beneficio acceso servicio poder conferir beneficio adicional facilmente identificable cuantificabl ahorro tiempo recolectar agua cerca casa defecar letrina domestico lugar aire libre intangibl dificil medida tal comodidad bienestar ultimo conocer colectivamente beneficio relacionado salud deber hecho medir impacto intervencion agua saneamiento higiene salud dificil especifico ubicacion organizacion mundial salud estimar beneficio economico total derivado alcanzar odm saneamiento pais atrasado ascenderir usd millon generar partir tiempo ahorrado tener viajar larga distancia hacer fila obtener agua defecar hutton haller,6
actual masa agua efecto adverso medio ambiente malo calidad agua reduccion caudal arroyo desecacion humedal añadir coste prestacion servicio hidrico tratar agua poder utilizar amenazar viabilidad economico agricultura actualidad poblacion acceso servicio agua potable disponer cobertura saneamiento considerar cobertura actual proyeccion crecimiento demografico futuro proximo año mexico necesitar dotar servicio agua potable millon habitante adicional servicio saneamiento millon,6
mayoria declarar dispuesto pagar agua minoria hacer gasolina uso carretera pregunta deber hacer gobierno ciudadano comportarar forma responsable mayoria favor endurecer pena infraccion medioambiental mejorar informacion mientras minoria querer gasolina cara mientras pedir reforma fiscal verde ministerio medio ambiente correo masivo utilizar enviar folleto hogar empresa ong ecologista llevar tiempo trabajar campo esfuerzo educativo sumar ahora escuela organizacion publico privado actualidad institucion dedicado educacion ambiental diverso ambito enseñanza escolar extraescolar educacion adulto actividad ocio servicio informacion publico municipio administracion agua bosque camara comercio local crear centro conservacion institucion divulgacion sendero natural autoguiado punto informacion pais,6
apoyo ley referir otorgar subsidio ong autoridad local pais socio brindar apoyo tecnico texto mencionar explicitamente posibilidad implementar proyecto traves acuerdo unilateral dentro red glr asi realizacion proyecto actividad anual plurianual gobierno francia ley prever recurso movilizado traves mecanismo poder utilizar financiar accion promover acceso servicio agua saneamiento definicion amplio poder incluir inversion infraestructura fisico desarrollo capacidad asistencia tecnico proteccion servicio ecosistemico agua,6
objetivo evitar entrada directo desecho ganado arroyo reducir asi contaminacion ambiental empresa agricola comenzar eliminar estiercol manera conjunto cuatro planta gran escala equipado tecnologia instalacion especializado intencion construir infraestructura estable procesamiento estiercol gestionar manera eficiente desecho ganado area granja ganado alto densidad incluido cerdo instalacion comenzar producir fertilizant solido licuado motivado decision gobierno coreano prohibir vertido excremento ganado oceano,6
notese tratar sugerir nuevo estructura coordinacion sino bien enfoque novedoso coordinar mejorar toma decision agente existente conveniente realizar estudio sintetico experiencia modelo negocio mandato examinar aquel mejor apoyar gestion integrado cuenca hidrografico importante señalar aqui cada modelo negocio coste beneficio necesario considerar amplio gama variable incluido coste requisito normativo supervision responsabilidad sinergia gestion cuestion financiero obstante deber evitar planificacion inversion infraestructura basar financiacion proyecto facilidad financiacion convertir criterio primordial,6
plan llevar cabo comite nacional agua bajo autoridad ministro medio ambiente politica destinado reducir impacto contaminacion agricola recurso hidrico llevar cabo colaboracion organismo dependiente ministerio medio ambiente onema agencia agua servicio desconcentrado ministerio medio ambiente etc politica new start for fresh water dirigido conjuntamente ministerio medio ambiente ministerio agricultura bosques permitir dos departamento coordinar interfaz politica agua agricultura nivel gobierno central,6
alla determinacion quien hacer desafio radicar problema superposicion responsabilidad generar interpretacion implementacion politica agua terreno requerir ambos ministerio cooperir area dar interdependencia tema cambio climatico planificacion espacial funcion distrito agua agencia organizacion necesidad abordar tema cantidad calidad manera colectivo promedio servicio domestico agua soler involucrar mayor cantidad ministerio agencia departamento publico debido externalidad suministro agua area politica ejemplo educacion salud etc,6
impacto comparable inundacion nivel agua alto primavera area ciudad lvov busk ucrania observar alto nivel contaminacion nitrogeno amonico ucrania luz indicador hidroquimico calidad agua empeorar comparacion consistente tendencia estable deterioro calidad agua resultado aumento descarga agua tratado insuficientemente tratado agua residual urbano industrial bug excepcion ambukov ubicado debajo confluencia rio hutshva agua categoria calidad clase iii decir agua limpio segun clasificacion ucraniano calidad agua categoria clase decir relativamente agua limpio seccion rio ucrania cerca frontera bielorrusia problema calidad comun fosforo nitrato metal bielorrusia informar agua fluir rio arriba nivel elevado solido disuelto,6
ingreso federal distrito riego menor costo operacion mantenimiento proyecto valle central congreso unidos aprobar ley reforma recuperacion requeer precio agua riego contrato nuevo cubrierar completamente costo operacion mantenimiento gao requisito legal autorizar secretario interior ajustar precio agua tarifa considerar demasiado baja permitir recuperacion total correspondiente obligacion reembolso capital proyecto,6
problema conflicto interes funcionario gobierno sistema agua privatizado corporacion informar ampliamente shivo evaluacion comparativo respaldar facilmente argumento eficiencia posiblemente debido corrupcion reportado otorgar monopolio natural proveedor calificado foei cuestion pagar costo total agua amplio cuenta impacto ecologico,6
costo adicional gasto continuo necesario administrar recurso hidrico brindar servicio agua mexico gasto total sector agua orden mxn mil millon año dos fuente ultimo financiamiento respaldar politica agua servicio agua mexico usuario traves cargo recurso hidrico cargo servicio agua contribuyente traves recurso presupuestario destinado proyecto agua recurso presupuestario general actualmente combinacion financiacion excesivamente respaldado recurso presupuestario publico sostenible,6
proteccion recurso hidrico directamente fuente mediante limitacion contaminacion cuenca generar beneficio indirecto costo evitado inversion tratamiento general poder rentable cada vez pais reconocer beneficio gestionar recurso hidrico utilizar enfoque cuenca completo cuenca fluvial dado reducir contaminacion fuente tender opcion economico tratar agua suministrar consumidor grado certeza suministrar agua factor importante determinar beneficio usuario agua obtener servicio influir fuertemente disposicion pagar mayor confiabilidad suministro agua evitar necesidad hogar almacenir agua situacion escasez generar ahorro costo confiabilidad agua parametro importante actividad economico industria agricultura servicio utilizar agua proceso insumo sustituible beneficio inversion apys compartir igual usuario mientras beneficio servicio agua generalmente experimentar nivel domestico beneficio servicio alcantarillado compartir comunidad conjunto,6
prut requerir programa monitoreo unificado sig tiempo ejemplo positivo lituania monitorear acuifero transfronterizo polonia año iniciar monitoreo agua subterraneo base acuerdo bilateral servicio geologico lituania agencia recurso mineral kaliningrado vertido agua residual municipal industrial tratado insuficientemente tratada seguir importante factor presion generalizado particularmente critico agua residual industrial sustancia peligroso tratado descargar agua superficial tratado descargar sistema alcantarillado,6
volumen agua residual urbano residuo solido aumentar debido crecimiento poblacion esperar construccion planta tratamiento agua residual municipio cuenca mejorar situacion prever terminada disposicion ilegal desecho factor presion reportar contaminacion agua area disposicion controlado,6
mejor instrumento poder implicar costo entrada causar friccion hacer menos asequible solucion contractual hoc cuenta marco regulatorio preexistent abordar limitacion fundamental cantidad calidad agua posible beneficio marginal accion cobrar costo marginal significativo escenario arreglo contractual hoc pequeño escala ventaja abordar limitacion especifico ciudad particular involucran numero limitado actor poder atractivo respuesta institucional bien definido complejo desafiant,6
coste poder economico ejemplo construccion nuevo infraestructura hidrico sustitucion antigua social ejemplo cierre asignacion agua limitar demanda medioambiental ejemplo deterioro sistema agua dulce reducir riesgo escasez agua depender nivel existente seguridad hidrico mejora incremental poder caso desproporcionadamente costoso identificar nivel aceptabilidad riesgo planteamiento basado fomenta respuesta politica selectivo proporcional rentable,6
investigador describir incorrectamente agua virtual analogo consistente teoria economico ventaja comparativo concepto agua virtual aplicar mayor frecuencia analizar comparar pais escasez agua pais abundancia agua centrar unicamente dotacion recurso hidrico agua virtual representar aplicacion ventaja absoluto lugar ventaja comparativo razon receta politica surgar discusion agua virtual maximizacer beneficio neto participar comercio internacional,6
programa tres paso fomentar intercambio conocimiento fortalecer gobernanza ambiental agua fomentar plataforma informacion solucion hidrico traves taller dialogo creer red formulador politica mejorar gobernanza ambiental agua wepa contribuir facilitar entendimiento mutuo problema agua pais miembro cada designar punto focal discutir solucion desafio gestion ambiental miembro actual camboyo republica popular chino indonesia japon corea republica democratica popular lao malasia myanmar nepal filipino sri lankir tailandio viet nam sugerir importancia mantener base dato actualizado regulacion agua existente,6
creacion ministerio ecologia recurso natural claro mejora comite estatal mejoramiento manejo agua enfocar regulacion agua riego interes abastecimiento agua defender compañia regional agua absheron comite estatal arquitectura construccion,6
acuerdo tercero revision desempeño ambiental unece reportar conflicto diferente usuario agua georgia menrp obligado informado conflicto usuario agua participar reunion negociacion unecir aplicar rio transfronterizo acuifero subterraneo actualmente organizacion seguridad cooperacion europa osce comision economico naciones unidas europa cepe apoyar georgia facilitar cooperacion azerbaiyan proteccion uso sostenible recurso hidrico cuenca rio kura acuerdo buscar resolver problema agua compartido rio kura uso agricola llevar cabo serie consulta bilateral georgia azerbaiyan objetivo desarrollar texto futuro acuerdo bilateral recurso hidrico compartido unecir conflicto uso agua energia hidroelectrica desarrollo irrigacion cuenca alazani iori preservacion flujo agua ecosistema acuatico fuente creciente preocupacion,6
papel gobierno central menor pais federal transferir mayoria competencia materia agua gobierno subnacional unidos recuadro belgico responsabilidad materia agua disperso region casi imposible capturar mapeo institucional nacional indicador ayudar medir fragmentacion rol responsabilidad partir supuesto cuanto actor complejo situacion deber analizar luz herramienta gobernanza adoptado superar tal complejidad,6
cumplimiento garantia cumplimiento legislacion agua medio ambiente cargo inspeccion ambiental estatal ministerio proteccion naturaleza traves inspeccion local tarea principal incluir preparacion implementacion legislacion agua desarrollo plan nacional gestion agua seguir disposicion dma evaluacion gestion riesgo inundacion provision presupuesto incentivo financiero apropiado recopilacion evaluacion dato agua representacion interes hidrico austria foro internacional ministerio contar apoyo agencia federal medio ambiente agencia federal agua,6
instrumento utilizado nivel recuperacion coste variar jurisdiccion departamento organismo federal incluir autoridad cuenca murray darling imponer tasa recuperar coste actividad planificacion gestion agua mayoria salvo australia occidental recuperan menos coste gobernanza agua menos queensland casi nuevo gales sur,6
objetivo general clasificar pais determinar modelo optimo gobernanza sino bien identificar categoria pais enfrentar desafio similar facilitar dialogo revision par aprender experiencia dentro region alc buscar respuesta politica adecuado pais encuestado pedir encuestado administracion central mayor frecuencia direccion agua clasificarar serie desafio gobernabilidad agua importante importante acuerdo conjunto indicador intentar ilustrar cada brecha gobernanza multinivel aunque varios elemento contribuir siete desafio general gobernanza descrito anteriormente seleccionar indicador indirecto brecha facilitar analisis,6
nombrar comite curva regla reducir nivel agua embalse periodo monzon cerca posible nivel almacenamiento muerto control inundacion proyecto retrasar construccion resultar costo capital cargo interes retorno retrasado industria comunidad agricola conflicto acerca estrategia asignacion agua probable almacenamiento mensual medio disminuir escenario futuro,6
sistema monitoreo cubrir deposito agua subterraneo embals sistema cola nacional pozo manantial incluir estacion observacion dispositivo automatico monitorizar extraccion agua subterraneo grande usuario agua diferente uso agua potable industria riego red abastecimiento compuesto pozo funcionamiento bombear millon año inversion monitoreo exploracion agua subterraneo aumentar ciento año cubierto programa largo plazo financiado capitulo,6
nivel agua subterraneo bajar decada regionalmente localmente reduccion severo turalbackgroundgrchjnekvater calidad anissue untl itwftheiedfdatavahabfot idspread modera contaminacion patogeno debido extraccion agua subterraneo ejercer presion aumento local moderado elevacion bombeo reduccion rendimiento pozo flujo base asi degradacion ecosistema generalizado grave origen natural generalizado moderado pesticida area acuifero tierra cultivo area urbano industrial poblacion densidad hab,6
considerar riesgo calidad agua poder recurrir cambio practica incluido drenaje dilucion tratamiento particular cambio practica solo ocurrir costo hacer inferior beneficio evitar riesgo cambiar actividad agricola solo rentable alternativa proporcionar ingreso resistente viable ilustracion simplificado asumir demanda perfectamente elastico riesgo agua interpretar cambio vertical oferta,6
gran incertidumbre recarga impedir cualquiera respuesta significativo gestion agua subterraneo crosbie almacenamiento recuperacion acuifero particular requerir conocimiento avanzado hidrogeologia evitar error costoso vear ejemplo blood and splagat ignorar conexion existente agua superficial gestion poder costoso,6
aproximadamente millon mexicano vivir actualmente asentamiento menos habitante comunidad rural menudo excluido recurso financiero humano limitado satisfacer necesidad agua mexicano rural zona rural requerir forma alternativo prestacion servicio desequilibrio riqueza presentar problema sostenibilidad economico proyecto agua,6
region fuente agua subterraneo contaminar industria local gobierno ucrania adoptar programa estatal conectar aldea provincia suministro agua centralizado solucion centralizado demasiado cara construir demasiado cara operar comunidad rural nuevo politica abastecimiento agua rural desarrollado ampliar opcion brindar servicio comunidad rural incluido pequeño sistema abastecimiento agua descentralizado medida tratamiento agua grifo,6
fuente ciudad louisville confiabilidad suministro poder variar diariamente semanalmente asi segun temporada mayor fiabilidad evitar primero lugar necesidad hogar almacenir agua situacion escasez inducir ahorro coste economizar espacio material persona poder beneficiar sensacion confianza suministro agua mayor comodidad,6
situacion exponer persona enfermedad infeccioso intestinal agudo asociacion usuario agua wua sigla ingles menudo cerrar salida colector agua residual provocar descarga agua residual area aldea conflicto surgen solo aldea vecino sino administracion aldea aua,6
construccion conducir creacion lago assad deposito agua grande pais capacidad proyectado regar tierra tercero presa grande eufrat sirio presa baath dos proyecto desarrollo subcuenca balikh jallab usar agua importado lago assad mientras agua rio sajur usar riego volumen deber agregar mmc utilizado proyecto operativo riego dato oficial indicar regar rio eufrat rio khabour jagh jagh equivaler casi aplicar tasa comunmente aceptado requisito riego sugerir uso agua riego alrededor mmc rio eufrat khabour jagh jagh,6
segun demanda total agua usuario actualmente mayor consumidor agua sector riego ciento seguido naturaleza ciento luego industria ciento abastecimiento agua potable poblacion turista ciento extraccion anual total agua pais disminuir ultimo año especialmente agua superficial poder relacionado colapso industria momento incluso industria seguir gran usuario agua subterraneo,6
interesado conectado capaz movilizar recurso financiero humano aportar perspectiva multiple diverso resolver problema agua nivel conexion interesado poder variar lugar diferencia poder ayudar entender cuestion relacionado difusion informacion confianza creacion consenso solidaridad cuanto cercano interesado mediante interaccion persona ejemplo traves reunion periodico traves canal comunicacion regular ejemplo plataforma debate linea probable informacion fluya facilmente,6
crecimiento continuo poblacion expansion economia combinado crecimiento resultante nivel ingreso ejercer presion cada vez mayor escaso recurso hidrico basado concepto gestion integrado recurso hidrico enfoque pretender tener debidamente cuenta equidad eficiencia ecologia ley nacional agua invertir enfoque historico considerar propietario tierra propietario recurso hidrico tierra lugar nombrar ministro agua asunto ambiental fideicomisario nombre gobierno nacional recurso hidrico nacion gestion recurso hidrico incluir calidad agua competencia nacional exclusivo,6
caso israel ministerio agencia gubernamental involucrado establecimiento politica tarifa relacionado agua actuar dentro restriccion ley agua aprobado knesset ley integral año incluir articulo tal identificacion mandato autoridad agua israel agencia nacional establecer politica administrar monitorea planificar suministro nacional agua identificacion organizacion autorizado trabajar sector agua respectivo responsabilidad identificacion restriccion necesario gestion agua agua residual asi regulacion modalidad fijacion tarifa agua cada sector domestico agricola industrial caso belgica canada chile francia mexico holanda españa unidos,6
segun estudio mortalidad infantil argentina caer zona privatizar servicio agua efecto mayor zona pobre galiani caso privatizacion agua llevar costo considerable aumento grupo vulnerable mal servicio desconexion punto acceso publico crisis economico caso impulsar gobierno salir negocio suministro agua dejar persona menos capaz pagar agua privatizado crisis economico reducir capacidad hogar pobre especialmente mujer pagar agua limitar gravemente acceso ingreso credito efecto dominar congelamiento credito nivel nacional combinado reduccion financiamiento donante significar institucion microfinanza menos fondo prestar cliente principalmente mujer cap net gwa,6
pais region men coste economico uso extractivo renunciar agotamiento total agua subterraneo estimar pib excluido valor situ rutar china coste agotamiento agua subterraneo excluir valor existencia estimar millon cny usd basar valor escasez agua banco mundial principal preocupacion nueve pais europeo informar sobreexplotacion agua subterraneo costero,6
esfuerzo curso dar espacio rio continuar futuro medida caracter tecnico reservar exclusivamente zona urbano caso factible ninguno opcion suave proteccion inundacion predicar impacto efecto descarga rio aumento frecuencia alcance impacto inundacion posiblemente nivel bajo constante agua lago calidad cantidad agua subterraneo ver afectado,6
drenaje tierra agricola intensificar emision nutrient suelo agua subterraneo cuanto evaluacion proporcion relativo contaminacion fuente difusa pais perteneciente region carecer experiencia uso metodo modelo evaluacion adecuado dificultar desarrollo escenario gestion importancia uso pesticida variar largo cuenca comparacion pais rio arriba danubio nivel uso pesticida pais danubio central bajo seguir relativamente bajo,6
momento gobierno municipal estatal mostrar voluntad particular utilizar ingreso mejorar consolidar sistema gestion agua forma clave avanzar establecer incentivo enfocar fuente ingreso principal prioridad agua implicar fuerte vinculo planificacion incluso caso rio janeiro tema critico,6
fin riego volumen agua concesion poner disposicion depender cuota hectarea recurso hidrico disponible variable tiempo asignacion inicial agua basar derecho agua determinado historicamente superficie regado criterio economico jugar papel importante aunque existir margen limitado cambiar asignacion inicial derecho agua traves comercio ver abajo efecto externo socio comercial ocurrir ejemplo resultado alteracion caudal rio costo relativamente alto falta infraestructura transporte limitar alcance comercio,6
papel consultivo fuerte comites cuenca fluvial mayor devolucion poder ejecutivo deliberativo agencia agua haer coincidir toma decision linea capacidad responsabilidad dar resultado menos decision implementar implicar desinflar papel consejo recurso hidrico nacional estatal pasar alto papel comites cuenca requerir agencia agua consultir consejo asesor comites dir explicacion detallado seguir consejo fin garantizar transparencia rendicion cuenta requisito agencia agua totalmente neutral independiente interes creado usuario agua tener rol deliberativo cargo agua varios caso aplicar regir nivel estatal federal problema escala incluir diferencia termino tasa cobro agua estatal federal costo inaccion consecuencia relacionado cantidad calidad agua aplicar cargo falta armonizacion proceso auditoria rendicion cuenta nivel gobierno,6
cifra resaltar gasto total pais desarrollo seguir insuficiente aunque mayoria representar gasto publico incluir fuente privado financiacion probable crisis financiero doble efecto transferencia gubernamental sector agua establecer ocde impacto potencialmente negativo tiempo crisis demanda competir fondo publico limitado,6
programa pago servicio cuenca hidrografico camboriu crear remediar grande perdida agua abastecimiento municipal elevado carga sedimento experimentar cuenca practico resultado previsto incluir conservacion conservar protegido restauracion mejorar calidad agua cuenca consecuencia abastecimiento municipal cuenca pipiripau brasil practico,6
politica desarrollo rural centrar modernizacion explotacion agricola uso continuado tierra agricola proteccion especifico recurso hidrico luxemburgo deber cumplir objetivo nuevo directiva calidad aire ambiente proximo año administracion medio ambiente tarea establecer plan accion mejorar calidad aire ambiente ciudad luxemburgo alrededor acuerdo directiva evaluacion gestion calidad aire ambiente,6
significar lograr ods depender progreso general agenda ods mutuamente dependiente accion deber naturaleza integrado asegurar ods avancir junto meta global ods lograr tasa actual cuenta indicador global ods considerar tendencia financiamiento capacidad compromiso politico lograr gestion sostenible agua saneamiento requerir profundo evolucion accion encargado formular politica tomar decision necesario tomar medida ahora avanzar hacia camino sostenible resiliente dejar nadie atras querer alcanzar objetivo agenda cada gobierno nacional deber decidir como incorporar meta ods proceso politica estrategia planificacion nacional,6
modo seguir defender principal donante volver modulado abierto interesado recientemente reconocida preocupado impacto ecologico desplazamiento poblacion local menudo minoria respectivo pais resultado social cultural economico localizado indeseable cambiar quien beneficiar quien perder cuestionar uso analisis social costo beneficio defender proyecto gran escala region mrc particular poder abrir voz investigacion foro internacional discutir politica resultado proyecto dar lugar propuesta gestion integrado recurso hidrico iwrm ahora contar apoyo institucion donant prestamista internacional incluir banco asiatico desarrollo gwp abdul layev,6
reducir tiempo aplicacion slurr invierno primavera ejemplo poder reducir riesgo lixiviacion nitrato potencialmente aumentar emision amoniaco collins mcgonigle necesario prestar atencion enfoque holistico mitigacion nitrogeno granja respaldado investigacion adecuado tema comision europea godlinski poder deber alto costo percibido agricultor implementar gestion reduccion nitrogeno oenema sino falta conciencia agricultor vinculo actividad agricola calidad agua,6
mientras agua subterraneo utilizar beber menos destinar riego industria terma ganaderia agua residual recoger tratar mayor asentamiento dim itrovgrad mientras zona rural utilizar principalmente fosa septico eliminacion comunal residuo actividad agricola poder poner peligro calidad agua subterraneo necesario establecer control sistematico cantidad calidad,6
consecuencia precipitacion generar modulo escurrimiento promedio variar alto kotel balkan precipitacion alcanzar modulo escorrentia bajo valle kamchia precipitacion caer año modulo escorrentia caer rio kamchia rio great kamchia,6
economia desarrollo economia incluir dema pais independientemente recibir aod importancia critico hecho acceso fuente agua mejorado significar necesariamente acceso agua seguro apto consumo humano resultado mitad cama hospital africa lleno persona padecer enfermedad relacionado agua ocde,6
capitulo señalar necesitar gestion abordar externalidad señalar multiple opcion politica poder ayudar abordar problema reconocer respuesta especifico deber adaptar condicion hidrogeologica ambiental capitulo proporcionar descripcion general enfoque gestion pais ocde varir ampliamente evidencia debil correspondencia restriccion respuestir solo cuatro pais ocde responder austria republica checa eslovenia pais bajo nacional regional cinco region region isla volcanico jeju corea cuatro region español informar realizar evaluacion periodico gestion agua subterraneo directiva marco agua pais miembro deber proporcionar informe implementacion cualitativo cuantitativo organismo gestion agua subterraneo,6
debido gran cantidad capital suministro agua proporcionar incentivo expandir capacidad almacenamiento agua superficial solo punto tiempo lugar distribuir largo tiempo poder significar poder pasar tiempo considerable materializar demanda utilizar recurso capacidad intervencion politica agricultura relacionado agua comunmente implicar cambiar cantidad calidad acceso general agricultor alguno acceso agua medir beneficio incremento suministro agua agricultura area receptor necesario estimar valor marginal agua beneficio neto marginal uso agricola dejarir producir nuevo incremento agua,6
